iter	Passed	Remaining
0	139	139239
1	147	73637
2	157	52469
3	169	42257
4	186	37115
5	207	34319
6	226	32095
7	237	29500
8	248	27407
9	260	25835
10	275	24743
11	290	23884
12	301	22913
13	315	22201
14	330	21676
15	342	21060
16	359	20781
17	370	20223
18	383	19811
19	399	19590
20	414	19305
21	433	19290
22	448	19042
23	462	18790
24	476	18590
25	490	18390
26	506	18264
27	521	18115
28	533	17873
29	548	17721
30	561	17552
31	575	17417
32	588	17249
33	603	17135
34	617	17017
35	634	16980
36	648	16877
37	661	16746
38	673	16600
39	691	16606
40	706	16535
41	720	16436
42	731	16286
43	743	16151
44	754	16019
45	765	15873
46	777	15757
47	787	15612
48	797	15484
49	807	15347
50	817	15214
51	828	15103
52	837	14961
53	846	14824
54	855	14699
55	864	14574
56	872	14442
57	882	14334
58	891	14224
59	899	14098
60	910	14016
61	919	13911
62	927	13796
63	935	13687
64	944	13588
65	953	13497
66	962	13407
67	974	13361
68	986	13309
69	996	13242
70	1010	13217
71	1023	13191
72	1035	13148
73	1048	13120
74	1061	13090
75	1071	13025
76	1080	12953
77	1090	12894
78	1100	12834
79	1109	12758
80	1118	12685
81	1125	12605
82	1134	12528
83	1141	12451
84	1149	12371
85	1157	12302
86	1165	12233
87	1174	12175
88	1182	12101
89	1190	12038
90	1198	11969
91	1205	11901
92	1214	11845
93	1227	11830
94	1241	11826
95	1254	11817
96	1263	11765
97	1271	11704
98	1280	11651
99	1287	11588
100	1294	11526
101	1302	11463
102	1309	11402
103	1316	11342
104	1323	11285
105	1332	11234
106	1339	11176
107	1346	11122
108	1353	11067
109	1361	11017
110	1368	10964
111	1376	10911
112	1383	10858
113	1390	10805
114	1399	10772
115	1410	10749
116	1419	10710
117	1432	10709
118	1444	10695
119	1454	10663
120	1462	10624
121	1474	10612
122	1483	10580
123	1499	10590
124	1508	10557
125	1517	10527
126	1527	10498
127	1535	10463
128	1546	10439
129	1556	10413
130	1563	10374
131	1571	10335
132	1579	10298
133	1587	10260
134	1595	10220
135	1602	10183
136	1610	10142
137	1617	10103
138	1625	10067
139	1632	10030
140	1642	10005
141	1649	9968
142	1658	9940
143	1668	9915
144	1676	9886
145	1686	9865
146	1693	9829
147	1702	9799
148	1709	9765
149	1717	9731
150	1725	9702
151	1734	9675
152	1741	9641
153	1748	9607
154	1755	9570
155	1763	9538
156	1770	9506
157	1778	9475
158	1785	9445
159	1792	9413
160	1800	9382
161	1807	9351
162	1816	9329
163	1824	9299
164	1832	9273
165	1840	9247
166	1847	9216
167	1856	9195
168	1864	9167
169	1873	9146
170	1882	9127
171	1890	9101
172	1899	9079
173	1907	9053
174	1914	9026
175	1922	8998
176	1929	8970
177	1936	8944
178	1944	8917
179	1951	8890
180	1959	8868
181	1968	8845
182	1975	8818
183	1983	8795
184	1990	8769
185	1997	8743
186	2005	8718
187	2013	8694
188	2020	8671
189	2028	8646
190	2036	8627
191	2044	8604
192	2051	8579
193	2060	8561
194	2068	8537
195	2077	8520
196	2086	8505
197	2094	8482
198	2101	8458
199	2109	8438
200	2117	8415
201	2124	8394
202	2132	8371
203	2141	8355
204	2151	8343
205	2162	8333
206	2170	8316
207	2180	8303
208	2188	8283
209	2197	8266
210	2206	8251
211	2214	8231
212	2223	8214
213	2231	8196
214	2240	8181
215	2249	8166
216	2259	8152
217	2269	8141
218	2278	8126
219	2293	8132
220	2301	8112
221	2308	8091
222	2315	8068
223	2323	8048
224	2330	8025
225	2337	8005
226	2344	7984
227	2351	7962
228	2358	7941
229	2366	7921
230	2373	7902
231	2381	7882
232	2388	7862
233	2395	7842
234	2403	7824
235	2411	7807
236	2420	7793
237	2429	7777
238	2437	7760
239	2446	7747
240	2453	7727
241	2460	7708
242	2468	7690
243	2477	7676
244	2487	7664
245	2496	7653
246	2506	7640
247	2514	7624
248	2523	7610
249	2532	7596
250	2542	7585
251	2550	7569
252	2558	7553
253	2566	7538
254	2575	7524
255	2583	7509
256	2591	7491
257	2600	7477
258	2609	7465
259	2617	7449
260	2625	7433
261	2633	7418
262	2642	7404
263	2650	7389
264	2658	7374
265	2668	7362
266	2677	7350
267	2685	7335
268	2694	7320
269	2704	7312
270	2712	7297
271	2720	7282
272	2729	7267
273	2738	7255
274	2746	7240
275	2755	7228
276	2766	7219
277	2774	7204
278	2790	7212
279	2801	7204
280	2810	7192
281	2819	7178
282	2827	7163
283	2836	7152
284	2844	7136
285	2853	7123
286	2861	7109
287	2870	7096
288	2878	7081
289	2885	7065
290	2892	7048
291	2900	7032
292	2908	7019
293	2916	7004
294	2924	6988
295	2934	6978
296	2944	6970
297	2953	6958
298	2961	6944
299	2969	6928
300	2977	6913
301	2984	6898
302	2994	6888
303	3003	6875
304	3013	6866
305	3020	6850
306	3028	6835
307	3036	6821
308	3043	6806
309	3051	6791
310	3058	6775
311	3065	6760
312	3074	6747
313	3082	6734
314	3091	6722
315	3099	6709
316	3108	6698
317	3116	6684
318	3125	6672
319	3136	6664
320	3144	6651
321	3152	6637
322	3161	6626
323	3169	6612
324	3176	6597
325	3184	6583
326	3192	6570
327	3200	6557
328	3209	6545
329	3218	6534
330	3228	6524
331	3236	6511
332	3243	6496
333	3250	6481
334	3257	6466
335	3264	6452
336	3272	6438
337	3279	6423
338	3286	6408
339	3293	6394
340	3301	6380
341	3308	6366
342	3316	6353
343	3323	6338
344	3332	6327
345	3341	6316
346	3349	6302
347	3356	6289
348	3364	6275
349	3372	6263
350	3379	6249
351	3386	6234
352	3393	6220
353	3401	6206
354	3408	6193
355	3417	6182
356	3429	6176
357	3438	6166
358	3446	6154
359	3454	6142
360	3462	6128
361	3469	6115
362	3476	6101
363	3485	6090
364	3494	6079
365	3501	6065
366	3509	6052
367	3516	6038
368	3523	6025
369	3531	6012
370	3538	5998
371	3545	5985
372	3552	5971
373	3559	5957
374	3567	5946
375	3575	5933
376	3582	5919
377	3589	5906
378	3597	5894
379	3603	5880
380	3611	5866
381	3618	5853
382	3626	5842
383	3634	5830
384	3641	5817
385	3649	5804
386	3658	5795
387	3667	5785
388	3675	5772
389	3682	5759
390	3689	5746
391	3696	5733
392	3703	5720
393	3717	5718
394	3729	5712
395	3747	5715
396	3757	5706
397	3764	5694
398	3773	5683
399	3781	5672
400	3790	5661
401	3803	5658
402	3816	5654
403	3824	5642
404	3835	5634
405	3874	5668
406	3893	5673
407	3902	5662
408	3924	5670
409	3930	5656
410	3939	5645
411	3946	5632
412	3954	5619
413	3961	5606
414	3969	5595
415	3977	5583
416	3986	5573
417	3993	5560
418	4000	5547
419	4008	5534
420	4016	5523
421	4025	5513
422	4034	5503
423	4043	5492
424	4053	5483
425	4061	5472
426	4071	5462
427	4081	5455
428	4091	5445
429	4101	5436
430	4109	5425
431	4118	5414
432	4125	5402
433	4132	5389
434	4139	5376
435	4146	5364
436	4154	5351
437	4162	5340
438	4169	5328
439	4176	5315
440	4183	5302
441	4190	5290
442	4197	5277
443	4204	5264
444	4211	5252
445	4218	5240
446	4228	5231
447	4239	5223
448	4248	5214
449	4258	5204
450	4267	5194
451	4275	5183
452	4286	5175
453	4296	5166
454	4306	5158
455	4314	5147
456	4323	5136
457	4330	5125
458	4339	5114
459	4348	5104
460	4356	5093
461	4364	5082
462	4373	5072
463	4381	5061
464	4390	5050
465	4398	5040
466	4406	5029
467	4415	5019
468	4424	5009
469	4432	4998
470	4441	4988
471	4451	4979
472	4459	4968
473	4467	4957
474	4481	4953
475	4502	4956
476	4516	4951
477	4534	4951
478	4554	4953
479	4572	4953
480	4595	4958
481	4623	4968
482	4637	4963
483	4653	4961
484	4673	4962
485	4686	4956
486	4699	4950
487	4709	4940
488	4717	4929
489	4725	4918
490	4733	4906
491	4743	4898
492	4752	4886
493	4760	4876
494	4768	4864
495	4786	4864
496	4808	4866
497	4820	4859
498	4832	4852
499	4865	4865
500	4884	4865
501	4904	4865
502	4917	4859
503	4938	4859
504	4959	4860
505	4971	4853
506	4986	4848
507	5000	4843
508	5019	4841
509	5032	4834
510	5046	4829
511	5062	4825
512	5078	4820
513	5090	4813
514	5102	4805
515	5111	4794
516	5120	4783
517	5128	4772
518	5138	4762
519	5147	4751
520	5156	4741
521	5165	4730
522	5174	4719
523	5187	4712
524	5197	4702
525	5206	4691
526	5214	4680
527	5222	4668
528	5230	4657
529	5239	4645
530	5248	4635
531	5256	4624
532	5265	4613
533	5274	4602
534	5284	4592
535	5292	4581
536	5300	4570
537	5310	4560
538	5320	4550
539	5332	4542
540	5340	4531
541	5352	4522
542	5360	4511
543	5368	4500
544	5378	4489
545	5386	4478
546	5394	4467
547	5402	4456
548	5412	4446
549	5420	4434
550	5429	4424
551	5441	4416
552	5454	4408
553	5468	4402
554	5481	4395
